row_type,indicator,indicator_label,config_id,params,corridor,eligible_days,signals,hits,hit_rate,baseline_hit_rate,raw_lift,same_week_lift,signals_per_week,mean_regret_bps
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":5,""window"":30}","{""pct"":5,""window"":30}",UZS,1146,104,27,0.25961538461538464,0.39790575916230364,0.6524544534412956,1.4944649446494465,0.44336175395858707,197.63660701928782
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":5,""window"":60}","{""pct"":5,""window"":60}",UZS,1146,175,44,0.25142857142857145,0.39790575916230364,0.6318796992481204,1.428571428571429,0.7460414129110841,212.7617606540333
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":5,""window"":90}","{""pct"":5,""window"":90}",UZS,1146,164,45,0.27439024390243905,0.39790575916230364,0.6895860077021824,1.3196480938416424,0.6991473812423873,210.83698290864822
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":5,""window"":180}","{""pct"":5,""window"":180}",UZS,1146,171,45,0.2631578947368421,0.39790575916230364,0.6613573407202216,1.2064343163538875,0.7289890377588306,205.3767092448845
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":5,""window"":252}","{""pct"":5,""window"":252}",UZS,1146,181,49,0.27071823204419887,0.39790575916230364,0.6803576621110787,1.1764705882352944,0.771619975639464,208.4275942179869
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":10,""window"":30}","{""pct"":10,""window"":30}",UZS,1146,219,61,0.2785388127853881,0.39790575916230364,0.7000120163422254,1.3937547600913938,0.9336175395858708,202.46399790509798
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":10,""window"":60}","{""pct"":10,""window"":60}",UZS,1146,247,61,0.24696356275303644,0.39790575916230364,0.6206584274451311,1.1685823754789275,1.0529841656516443,193.8621808115944
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":10,""window"":90}","{""pct"":10,""window"":90}",UZS,1146,251,68,0.27091633466135456,0.39790575916230364,0.6808555252673516,1.1908931698774081,1.0700365408038977,190.24448721242842
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":10,""window"":180}","{""pct"":10,""window"":180}",UZS,1146,235,60,0.2553191489361702,0.39790575916230364,0.6416573348264277,1.090909090909091,1.0018270401948843,195.90223093077395
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":10,""window"":252}","{""pct"":10,""window"":252}",UZS,1146,245,68,0.27755102040816326,0.39790575916230364,0.6975295381310419,1.1184210526315792,1.0444579780755177,202.6042228074033
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":20,""window"":30}","{""pct"":20,""window"":30}",UZS,1146,318,88,0.27672955974842767,0.39790575916230364,0.6954650777888117,1.1594202898550725,1.3556638246041413,196.82693135973895
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":20,""window"":60}","{""pct"":20,""window"":60}",UZS,1146,344,94,0.27325581395348836,0.39790575916230364,0.6867350061199511,1.1936507936507936,1.466504263093788,183.01479107348607
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":20,""window"":90}","{""pct"":20,""window"":90}",UZS,1146,349,99,0.2836676217765043,0.39790575916230364,0.7129015231488464,1.1211778029445072,1.4878197320341047,177.73833992308334
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":20,""window"":180}","{""pct"":20,""window"":180}",UZS,1146,324,93,0.28703703703703703,0.39790575916230364,0.721369395711501,1.0801393728222994,1.3812423873325212,185.0776474809844
registered_config,level_percentile,Уровень: нижние проценты диапазона,"level_percentile:{""pct"":20,""window"":252}","{""pct"":20,""window"":252}",UZS,1146,344,106,0.3081395348837209,0.39790575916230364,0.7744033047735618,1.062124248496994,1.466504263093788,182.36717639511585
registered_config,momentum_streak,Моментум: N дней подряд вниз,"momentum_streak:{""n"":2}","{""n"":2}",UZS,1146,321,103,0.32087227414330216,0.39790575916230364,0.8064026889654041,1.3165743502343414,1.3684531059683311,194.87242461513435
registered_config,momentum_streak,Моментум: N дней подряд вниз,"momentum_streak:{""n"":3}","{""n"":3}",UZS,1146,188,62,0.32978723404255317,0.39790575916230364,0.8288073908174692,1.4514241123683185,0.8014616321559074,203.64272664040064
registered_config,momentum_streak,Моментум: N дней подряд вниз,"momentum_streak:{""n"":4}","{""n"":4}",UZS,1146,110,36,0.32727272727272727,0.39790575916230364,0.822488038277512,1.5428571428571431,0.46894031668696706,221.83198061304185
